Muslo,Rodilla
0.722748,-1.44547
0.713885,-1.44538
0.704936,-1.44512
0.695901,-1.44468
0.686781,-1.44406
0.677579,-1.44326
0.668296,-1.44229
0.658933,-1.44115
0.649490,-1.43982
0.639971,-1.43832
0.630374,-1.43665
0.620703,-1.43479
0.610959,-1.43276
0.601141,-1.43055
0.591252,-1.42817
0.581293,-1.42560
0.571265,-1.42286
0.561170,-1.41994
0.551007,-1.41684
0.540778,-1.41357
0.530484,-1.41011
0.520127,-1.40648
0.509707,-1.40266
0.499224,-1.39867
0.488681,-1.39449
0.478077,-1.39014
0.467414,-1.38560
0.456691,-1.38088
0.445911,-1.37598
0.435073,-1.37089
0.424178,-1.36562
0.413227,-1.36017
0.402220,-1.35453
0.391157,-1.34870
0.380039,-1.34269
0.368866,-1.33648
0.357638,-1.33009
0.346356,-1.32351
0.335020,-1.31674
0.323629,-1.30977
0.312183,-1.30261
0.300684,-1.29525
0.289129,-1.28770
0.277519,-1.27994
0.265854,-1.27199
0.254132,-1.26383
0.242355,-1.25546
0.230520,-1.24689
0.218626,-1.23811
0.206675,-1.22912
0.194663,-1.21991
0.182590,-1.21048
0.170455,-1.20084
0.158256,-1.19096
0.145993,-1.18086
0.133662,-1.17053
0.121263,-1.15996
0.108793,-1.14915
0.0962497,-1.13809
0.0836315,-1.12679
0.0709355,-1.11523
0.0581587,-1.10340
0.0452982,-1.09131
0.0323505,-1.07894
0.0193121,-1.06629
0.00617907,-1.05335
-0.00705291,-1.04012
-0.0203885,-1.02657
-0.0338327,-1.01270
-0.0473911,-0.998510
-0.0610696,-0.983974
-0.0748749,-0.969084
-0.0888141,-0.953826
-0.102895,-0.938184
-0.117127,-0.922141
-0.131518,-0.905678
-0.146080,-0.888775
-0.160825,-0.871407
-0.175765,-0.853549
-0.190914,-0.835173
-0.206291,-0.816246
-0.221912,-0.796731
-0.237799,-0.776587
-0.253976,-0.755766
-0.270471,-0.734213
-0.287315,-0.711865
-0.304547,-0.688647
-0.322210,-0.664471
-0.340358,-0.639230
-0.378380,-0.585015
-0.489272,-0.416187
-0.516177,-0.372696
-0.580602,-0.264217
-0.624149,-0.187174
-0.713492,-0.0184542
0.723313,-0.00115692
-0.676355,-0.0946819
-0.642571,-0.165928
-0.618913,-0.216690
-0.599217,-0.259294
-0.581718,-0.297273
-0.565618,-0.332218
-0.550479,-0.365002
-0.536032,-0.396164
-0.522099,-0.426059
-0.508552,-0.454937
-0.495300,-0.482979
-0.482275,-0.510321
-0.469421,-0.537069
-0.456682,-0.563335
-0.444061,-0.589110
-0.431502,-0.614501
-0.418985,-0.639548
-0.406493,-0.664277
-0.394006,-0.688730
-0.381512,-0.712926
-0.368998,-0.736885
-0.356454,-0.760626
-0.343870,-0.784164
-0.331237,-0.807511
-0.318549,-0.830678
-0.305797,-0.853675
-0.292976,-0.876510
-0.280080,-0.899188
-0.267105,-0.921716
-0.254044,-0.944098
-0.240893,-0.966337
-0.227649,-0.988436
-0.214307,-1.01040
-0.200864,-1.03222
-0.187315,-1.05391
