X,Y
2.3141289,-1.4626976
2.323199,-1.4637731
2.3313882,-1.4637452
2.337545,-1.4619969
2.3434074,-1.4599999
2.3509233,-1.457848
2.3588018,-1.4556624
2.3666804,-1.4534765
2.3732038,-1.4506654
2.379278,-1.4476491
2.386607,-1.4453102
2.393936,-1.4429717
2.4012654,-1.440633
2.4085944,-1.4382945
2.4159234,-1.4359556
2.4232526,-1.433617
2.4305818,-1.4312783
2.437911,-1.4289397
2.4452403,-1.426601
2.4525695,-1.4242623
2.4598985,-1.4219235
2.4672275,-1.419585
2.4745567,-1.4172462
2.4818861,-1.4149076
2.489215,-1.4125689
2.4965444,-1.4102303
2.5038733,-1.4078916
2.5112023,-1.405553
2.5185318,-1.4032142
2.5241947,-1.3984768
2.5275688,-1.390133
2.5309432,-1.3817892
2.5343175,-1.3734454
2.5376916,-1.3651015
2.541066,-1.3567578
2.5444403,-1.3484141
2.5478146,-1.3400701
2.551189,-1.3317264
2.554563,-1.3233823
2.5579374,-1.3150386
2.5613115,-1.3066949
2.5646858,-1.2983509
2.56806,-1.2900072
2.5714345,-1.2816633
2.5748086,-1.2733197
2.578183,-1.2649759
2.5815573,-1.256632
2.5849314,-1.248288
2.5883057,-1.2399443
2.5916803,-1.2316006
2.5950623,-1.223248
2.5986428,-1.2146732
2.6022234,-1.2060983
2.605804,-1.1975235
2.6093845,-1.1889488
2.612965,-1.1803737
2.6165462,-1.1717991
2.6201262,-1.1632243
2.6237068,-1.1546495
2.6268702,-1.1459461
2.6293793,-1.1370417
2.6318886,-1.1281372
2.6343975,-1.1192327
2.6369069,-1.1103283
2.6394162,-1.1014237
2.6416688,-1.092429
2.643918,-1.0834326
2.6461673,-1.0744364
2.6424448,-1.0569123
2.6372519,-1.0372885
2.632059,-1.0176646
2.6268666,-0.9980403
2.6216736,-0.9784167
2.6164806,-0.9587924
2.611288,-0.9391688
2.6061182,-0.91952866
2.6021209,-0.89905757
2.5981245,-0.87858635
2.5941274,-0.8581151
2.5901303,-0.8376436
2.5861335,-0.81717265
2.5816622,-0.79611826
2.576615,-0.7743573
2.5715687,-0.7525965
2.5665226,-0.7308358
2.561476,-0.70907503
2.5564291,-0.68731433
2.551382,-0.6655531
2.5463362,-0.6437925
2.5412889,-0.62203133
2.5362425,-0.60027075
2.5311959,-0.5785098
2.5261493,-0.55674887
2.5211027,-0.53498787
2.5154579,-0.5120992
2.5095043,-0.48862803
2.5035734,-0.46484536
2.4976559,-0.440907
2.4920557,-0.41696477
2.486273,-0.391618
2.480491,-0.36627114
0.9342581,-0.16964895
1.4070562,-4.4428306
2.496037,-0.39174324
2.5065875,-0.4095556
2.5162873,-0.42478424
2.5260363,-0.43969107
2.5352254,-0.45374912
2.5438998,-0.46714717
2.5526533,-0.48100883
2.561485,-0.49533004
2.570392,-0.5101075
2.5793724,-0.52533746
2.5886812,-0.5416852
2.5974827,-0.5584384
2.606378,-0.5756873
2.6153646,-0.5934255
2.6244402,-0.6116507
2.6336021,-0.6303557
2.6428487,-0.649539
2.6521785,-0.6691939
2.6615882,-0.68931633
2.671075,-0.70990026
2.6806374,-0.73094165
2.6902726,-0.7524351
2.6999786,-0.774375
2.7097523,-0.7967556
2.7195923,-0.8195723
2.729495,-0.84281856
2.739459,-0.8664892
2.749481,-0.89057803
2.7595592,-0.9150788
2.7696903,-0.9399861
2.779873,-0.9652934
2.7901034,-0.9909947
2.80038,-1.017083
2.8107,-1.0435528
2.82106,-1.0703958
2.831458,-1.0976071
2.8418925,-1.1251795
2.8523598,-1.1531063
2.8629072,-1.1812736
2.8739862,-1.2087175
2.885092,-1.2364899
2.8962226,-1.2645844
2.907374,-1.2929934
2.9102335,-1.3098406
2.9119728,-1.3253664
2.913598,-1.3410032
2.9151077,-1.3567473
2.916502,-1.3725945
2.9177814,-1.3885409
2.9189448,-1.4045826
2.9199913,-1.4207159
2.9209218,-1.4369365
2.9217353,-1.4532405
2.9224324,-1.4696237
2.9230118,-1.4860818
2.9234748,-1.5026118
2.9238195,-1.5192084
2.924047,-1.5358679
2.9241574,-1.5525864
2.9241502,-1.5693595
2.9240255,-1.586183
2.923783,-1.6030531
2.9234233,-1.6199652
2.922946,-1.6369151
2.9223518,-1.6538988
2.9216402,-1.6709124
2.9199514,-1.6876861
