Muslo	Rodilla
-0.657939	-0.133475
-0.612252	-0.232482
-0.581319	-0.301802
-0.556322	-0.359069
-0.534712	-0.409376
-0.515326	-0.455048
-0.497531	-0.497351
-0.480917	-0.537098
-0.465220	-0.574819
-0.450248	-0.610890
-0.435862	-0.645589
-0.421955	-0.679128
-0.408441	-0.711673
-0.395255	-0.743354
-0.382340	-0.774279
-0.369651	-0.804533
-0.357149	-0.834191
-0.344803	-0.863314
-0.332583	-0.891954
-0.320466	-0.920154
-0.308430	-0.947955
-0.296456	-0.975387
-0.284526	-1.00248
-0.272626	-1.02926
-0.260741	-1.05575
-0.248860	-1.08197
-0.236969	-1.10794
-0.225059	-1.13366
-0.213118	-1.15917
-0.201139	-1.18445
-0.189111	-1.20954
-0.177026	-1.23443
-0.164875	-1.25914
-0.152652	-1.28366
-0.140348	-1.30802
-0.127956	-1.33221
-0.115468	-1.35624
-0.102878	-1.38012
-0.0901784	-1.40384
-0.0773618	-1.42740
-0.0644216	-1.45082
-0.0513505	-1.47410
-0.0381417	-1.49723
-0.0247880	-1.52021
-0.0112821	-1.54305
0.00238306	-1.56574
0.0162150	-1.58829
0.0302213	-1.61069
0.0444096	-1.63294
0.0587878	-1.65505
0.0733638	-1.67700
0.0881460	-1.69880
0.103143	-1.72043
0.118363	-1.74191
0.133815	-1.76322
0.149508	-1.78436
0.165452	-1.80532
0.181656	-1.82610
0.198130	-1.84670
0.214884	-1.86710
0.231928	-1.88729
0.340887	-2.00379
0.360264	-2.02233
0.529707	-2.15947
0.552822	-2.17498
0.576389	-2.19007
0.600408	-2.20471
0.624880	-2.21890
0.649804	-2.23261
0.675173	-2.24581
0.700980	-2.25849
0.727214	-2.27061
0.753860	-2.28217
0.780899	-2.29314
0.808309	-2.30349
0.836061	-2.31320
0.864123	-2.32225
0.892459	-2.33062
0.921026	-2.33828
0.949777	-2.34522
0.978662	-2.35142
1.00762	-2.35685
1.03660	-2.36151
1.06554	-2.36539
1.09436	-2.36846
1.12300	-2.37071
1.15138	-2.37216
1.17944	-2.37277
1.20711	-2.37257
1.23431	-2.37154
1.26098	-2.36969
1.28706	-2.36702
1.31247	-2.36355
1.38421	-2.34841
1.40646	-2.34184
1.42782	-2.33454
1.44826	-2.32652
1.46775	-2.31781
1.48628	-2.30843
1.50383	-2.29839
1.52040	-2.28773
1.53598	-2.27647
1.55058	-2.26462
1.56419	-2.25221
1.57684	-2.23927
1.58853	-2.22582
1.59928	-2.21187
1.60911	-2.19745
1.61803	-2.18258
1.62607	-2.16727
1.63325	-2.15156
1.63959	-2.13546
1.64511	-2.11898
1.64985	-2.10214
1.65383	-2.08495
1.65706	-2.06744
1.65958	-2.04962
1.66141	-2.03150
1.66257	-2.01310
1.66308	-1.99442
1.66297	-1.97548
1.66227	-1.95629
1.66098	-1.93686
1.65914	-1.91720
1.65675	-1.89731
1.65385	-1.87722
1.65045	-1.85692
1.64656	-1.83642
1.64221	-1.81573
1.63741	-1.79486
1.63218	-1.77381
1.62653	-1.75259
1.62047	-1.73119
1.61402	-1.70964
1.60719	-1.68792
1.59999	-1.66604
1.59244	-1.64402
1.58454	-1.62184
1.57631	-1.59951
1.56776	-1.57703
1.55888	-1.55441
1.54970	-1.53165
1.54022	-1.50873
1.53044	-1.48568
1.52038	-1.46248
1.51004	-1.43913
1.49942	-1.41564
1.48854	-1.39199
1.47739	-1.36820
1.46597	-1.34425
1.45430	-1.32014
1.44237	-1.29586
1.43020	-1.27142
1.41776	-1.24681
1.40508	-1.22201
1.39215	-1.19702
1.37897	-1.17184
1.36554	-1.14644
1.35185	-1.12083
1.33790	-1.09499
1.32370	-1.06890
1.30923	-1.04254
1.29448	-1.01591
1.27946	-0.988975
1.26415	-0.961715
1.24854	-0.934102
1.23262	-0.906106
1.21637	-0.877692
1.19977	-0.848816
1.18281	-0.819433
1.16545	-0.789485
1.14767	-0.758905
1.12943	-0.727615
1.11067	-0.695516
1.09135	-0.662492
1.07139	-0.628396
1.05069	-0.593041
1.02915	-0.556185
1.00660	-0.517507
0.982820	-0.476559
0.957484	-0.432694
0.930096	-0.384913
0.899810	-0.331521
0.864965	-0.269194
0.821242	-0.189292
0.723313	-0.00115692
0.723313	-0.00115692
0.811194	-0.186885
0.844732	-0.264013
0.869154	-0.322997
0.888817	-0.372553
0.905411	-0.416059
0.919802	-0.455249
0.932505	-0.491154
0.943855	-0.524445
0.954086	-0.555589
0.963368	-0.584927
0.971827	-0.612714
0.979565	-0.639150
0.986659	-0.664394
0.993174	-0.688573
0.999163	-0.711794
1.00467	-0.734145
1.00973	-0.755700
1.01437	-0.776524
1.01863	-0.796670
1.02253	-0.816187
1.02608	-0.835116
1.02930	-0.853493
1.03222	-0.871352
1.03485	-0.888722
1.03719	-0.905627
1.03926	-0.922091
1.04107	-0.938135
1.04264	-0.953779
1.04396	-0.969038
1.04504	-0.983928
1.04590	-0.998465
1.04654	-1.01266
1.04696	-1.02653
1.04717	-1.04007
1.04718	-1.05331
1.04698	-1.06625
1.04659	-1.07891
1.04601	-1.09127
1.04525	-1.10337
1.04429	-1.11519
1.04316	-1.12675
1.04185	-1.13806
1.04036	-1.14912
1.03870	-1.15993
1.03687	-1.17050
1.03488	-1.18083
1.03271	-1.19093
1.03039	-1.20081
1.02790	-1.21045
1.02526	-1.21988
1.02245	-1.22909
1.01950	-1.23809
1.01638	-1.24687
1.01312	-1.25544
1.00971	-1.26380
1.00614	-1.27196
1.00243	-1.27992
0.998579	-1.28767
0.994580	-1.29523
0.990438	-1.30259
0.986154	-1.30975
0.981730	-1.31672
0.977168	-1.32349
0.972468	-1.33007
0.967633	-1.33646
0.962662	-1.34267
0.957559	-1.34868
0.952323	-1.35451
0.946956	-1.36015
0.941460	-1.36560
0.935835	-1.37087
0.930083	-1.37596
0.924206	-1.38086
0.918204	-1.38558
0.912078	-1.39012
0.905831	-1.39448
0.899463	-1.39866
0.892976	-1.40265
0.886371	-1.40647
0.879649	-1.41010
0.872811	-1.41356
0.865860	-1.41683
0.858795	-1.41993
0.851619	-1.42285
0.844333	-1.42560
0.836938	-1.42816
0.829436	-1.43055
0.821827	-1.43276
0.814114	-1.43479
0.806297	-1.43664
0.798379	-1.43832
0.790359	-1.43982
0.782241	-1.44114
0.774024	-1.44229
0.765711	-1.44326
0.757303	-1.44406
0.748802	-1.44467
0.740208	-1.44512
0.731522	-1.44538
0.722748	-1.44547
0.713885	-1.44538
0.704936	-1.44512
0.695901	-1.44468
0.686781	-1.44406
0.677579	-1.44326
0.668296	-1.44229
0.658933	-1.44115
0.649490	-1.43982
0.639971	-1.43832
0.630374	-1.43665
0.620703	-1.43479
0.610959	-1.43276
0.601141	-1.43055
0.591252	-1.42817
0.581293	-1.42560
0.571265	-1.42286
0.561170	-1.41994
0.551007	-1.41684
0.540778	-1.41357
0.530484	-1.41011
0.520127	-1.40648
0.509707	-1.40266
0.499224	-1.39867
0.488681	-1.39449
0.478077	-1.39014
0.467414	-1.38560
0.456691	-1.38088
0.445911	-1.37598
0.435073	-1.37089
0.424178	-1.36562
0.413227	-1.36017
0.402220	-1.35453
0.391157	-1.34870
0.380039	-1.34269
0.368866	-1.33648
0.357638	-1.33009
0.346356	-1.32351
0.335020	-1.31674
0.323629	-1.30977
0.312183	-1.30261
0.300684	-1.29525
0.289129	-1.28770
0.277519	-1.27994
0.265854	-1.27199
0.254132	-1.26383
0.242355	-1.25546
0.230520	-1.24689
0.218626	-1.23811
0.206675	-1.22912
0.194663	-1.21991
0.182590	-1.21048
0.170455	-1.20084
0.158256	-1.19096
0.145993	-1.18086
0.133662	-1.17053
0.121263	-1.15996
0.108793	-1.14915
0.0962497	-1.13809
0.0836315	-1.12679
0.0709355	-1.11523
0.0581587	-1.10340
0.0452982	-1.09131
0.0323505	-1.07894
0.0193121	-1.06629
0.00617907	-1.05335
-0.00705291	-1.04012
-0.0203885	-1.02657
-0.0338327	-1.01270
-0.0473911	-0.998510
-0.0610696	-0.983974
-0.0748749	-0.969084
-0.0888141	-0.953826
-0.102895	-0.938184
-0.117127	-0.922141
-0.131518	-0.905678
-0.146080	-0.888775
-0.160825	-0.871407
-0.175765	-0.853549
-0.190914	-0.835173
-0.206291	-0.816246
-0.221912	-0.796731
-0.237799	-0.776587
-0.253976	-0.755766
-0.287315	-0.711865
-0.304547	-0.688647
-0.322210	-0.664471
-0.340358	-0.639230
-0.378380	-0.585015
