Muslo,Rodilla
0.544950,-0.775940
1.54712,-0.854734
1.38168,-0.896113
2.19883,-0.557074
1.20165,-0.365609
2.80666,-0.887151
2.17672,-0.786393
1.42101,-0.896967
2.44403,-0.930057
1.31024,-0.941974
1.19215,-0.709068
2.06324,-0.733323
2.08309,-0.981465
2.32497,-0.738736
1.53220,-0.235257
1.15287,-0.917684
0.713951,-0.558346
1.14994,-0.861863
1.50356,-0.668815
1.15798,-0.573628
2.22687,-0.471788
1.06801,-0.815560
0.732608,-0.711160
2.05054,-0.935698
2.43808,-0.899426
1.35937,-0.630920
1.73477,-0.982711
1.13234,-0.374273
1.53245,-0.811898
0.694233,-0.973149
0.811632,-0.613034
0.645891,-0.987314
1.11766,-0.230458
1.63749,-0.628103
1.19738,-0.891507
1.84852,-0.648271
1.00932,-0.299758
0.574273,-0.896720
1.77400,-0.915460
1.09180,-0.533106
0.899315,-0.769067
1.86863,-0.926307
1.39931,-0.277223
2.21966,-0.385293
1.46492,-0.738310
2.05025,-0.754032
1.41924,-0.993486
0.703510,-0.165903
2.00550,-0.736915
1.30619,-0.984480
2.03226,-0.397028
0.401682,-0.430752
1.33138,-0.553879
2.10630,-0.730603
0.580004,-0.871783
1.54620,-0.362322
1.39112,-0.586705
1.23476,-0.958414
1.10043,-0.945785
1.59430,-0.839988
1.15673,-0.771719
0.574463,-0.486096
1.83258,-0.977556
1.73380,-0.785010
1.08946,-0.824761
2.40137,-0.944599
0.504484,-0.959987
1.90990,-0.576867
0.861798,-0.952654
2.39782,-0.920591
2.13177,-0.840613
1.18063,-0.905498
2.30946,-0.817071
1.30121,-0.638408
1.86593,-0.739371
0.477455,-0.906932
0.707409,-0.484982
1.46490,-0.641719
0.960532,-0.625059
1.63491,-0.317335
0.854952,-0.781438
0.902416,-0.744481
1.72153,-0.430477
0.822203,-0.737868
1.69978,-0.247802
0.448757,-0.509165
1.85358,-0.758132
0.717113,-0.142101
2.15856,-0.554170
1.27019,-0.927703
1.88688,-0.791660
1.86836,-0.945715
2.40820,-0.990358
0.880731,-0.689389
1.03765,-0.730207
1.40913,-0.846023
1.33344,-0.646758
1.93860,-0.386024
1.36907,-0.891188
0.743695,-0.285234
1.80333,-0.186306
2.22422,-0.428739
0.663248,-0.777123
1.65039,-0.644144
2.31533,-0.948094
2.36012,-0.577127
0.773882,-0.510312
1.82199,-0.758537
0.947987,-0.247754
1.43066,-0.814891
1.30709,-0.818850
1.80054,-0.961829
1.02018,-0.776909
2.35524,-0.721456
1.66800,-0.825114
0.930430,-0.986305
1.81325,-0.983245
1.06348,-0.959754
1.75152,-0.762115
1.31787,-0.178929
2.18280,-0.933830
1.66582,-0.942380
0.225010,-0.0516557
2.27784,-0.736409
0.419396,-0.727576
0.764191,-0.515130
1.00900,-0.113976
0.465891,-0.896160
0.805501,-0.351756
0.917723,-0.876539
1.41527,-0.823612
1.76200,-0.419426
2.13533,-0.839688
1.99671,-0.736551
1.11622,-0.837643
2.25812,-0.404839
2.07923,-0.511051
1.46953,-0.682940
2.07827,-0.778479
1.16077,-0.195002
1.71046,-0.737133
2.28884,-0.441531
1.44769,-0.543069
0.528231,-0.311698
0.919113,-0.587521
0.740075,-0.708258
0.608945,-0.732133
2.07787,-0.815539
1.74200,-0.857077
1.30014,-0.453419
0.695144,-0.629762
1.64081,-0.604613
0.836005,-0.516320
0.476133,-0.821525
2.05587,-0.943196
2.22425,-0.885749
1.19128,-0.693123
2.25320,-0.956440
2.42884,-0.945650
0.874692,-0.656644
2.00895,-0.838752
1.73766,-0.701472
1.35011,-0.984920
0.597452,-0.669158
1.35840,-0.566661
1.27768,-0.626342
2.45566,-0.632687
0.406428,-0.629504
2.36255,-0.837602
0.681274,-0.330180
1.86254,-0.484900
0.994674,-0.882482
1.92259,-0.999340
0.558917,-0.955955
2.32243,-0.638936
1.89733,-0.931783
1.52075,-0.638865
1.62077,-0.388614
0.801084,-0.752829
2.13736,-0.861639
0.453300,-0.202762
1.36034,-0.731541
1.01899,-0.384423
0.400199,-0.137562
0.641064,-0.851415
1.95199,-0.442738
1.38175,-0.379699
0.666220,-0.661712
0.807883,-0.497626
0.887898,-0.428484
0.695953,-0.707224
0.316403,-0.549876
1.27712,-0.670127
0.741415,-0.522736
1.86479,-0.386013
0.672440,-0.969820
2.09533,-0.846445
1.29805,-0.708596
1.20521,-0.821452
1.92945,-0.715203
0.814076,-0.222983
0.738193,-0.572269
2.03583,-0.590693
1.67447,-0.811486
1.26770,-0.957540
1.62896,-0.906997
0.778325,-0.744656
0.612880,-0.700117
2.24415,-0.679095
1.53441,-0.0969986
1.86964,-0.871677
0.609316,-0.398413
0.698361,-0.909549
2.24343,-0.924927
0.632269,-0.736836
0.809220,-0.912268
2.30960,-0.829729
0.842891,-0.689110
1.52554,-0.635712
0.803980,-0.359455
1.96126,-0.576382
2.25414,-0.631033
0.409024,-0.801011
1.68260,-0.370794
2.23169,-0.545280
2.38512,-0.838057
1.27315,-0.183852
1.01752,-0.912994
0.571018,-0.578889
1.72896,-0.407094
1.08012,-0.772700
1.92970,-0.806139
0.498263,-0.869219
0.399343,-0.304866
0.955160,-0.475180
1.92285,-0.363592
2.52116,-0.909947
0.588241,-0.765561
0.513057,-0.929446
1.95064,-0.862811
0.895452,-0.398409
2.22934,-0.926586
2.10898,-0.361019
0.662438,-0.772536
1.30510,-0.424319
1.56547,-0.944620
1.04182,-0.914412
2.36142,-0.564470
1.10154,-0.645170
0.274664,-0.392209
1.32692,-0.888447
1.35039,-0.959930
1.16050,-0.483897
2.12899,-0.347904
0.695029,-0.926638
2.00274,-0.591642
1.54985,-0.801871
0.564929,-0.822046
1.24146,-0.605090
0.576493,-0.653955
0.817422,-0.968918
2.05207,-0.505842
1.61468,-0.428186
0.985959,-0.693358
1.28058,-0.793625
1.16311,-0.505964
1.30640,-0.979092
1.27298,-0.839157
2.19350,-0.379725
2.19359,-0.788479
1.73971,-0.845729
0.889812,-0.250339
0.530302,-0.411049
2.12245,-0.757214
0.504208,-0.811142
1.18653,-0.961643
0.637315,-0.484860
2.09691,-0.744902
1.27121,-0.787052
0.516160,-0.791271
1.32917,-0.700812
2.00037,-0.996986
2.03622,-0.768624
1.74994,-0.228189
2.36322,-0.850013
0.308812,-0.310071
0.853870,-0.913435
0.541869,-0.964619
1.84220,-0.204325
2.03442,-0.394885
1.19703,-0.808594
1.83859,-0.470710
1.14082,-0.183323
